Rank,Name,Revenue ($M),Revenue % change,Profit ($M),Profit % change,Assets ($M),Market Value ($M),Change in rank (1000),Employees,Change in rank (500),Year,Female CEO,Founder CEO
332,PVH,"$8,914.80",8.7%,$537.8,-2%,"$11,885.70","$11,649.40",3,"28,050",3,2018,0,0
333,Avis Budget Group,"$8,848.00",2.2%,$361,121.5%,"$17,699.00","$3,791.80",-14,"26,300",-14,2018,0,0
334,Targa Resources,"$8,814.90",31.7%,$54,-,"$14,388.60","$9,628.50",68,"2,130",68,2018,0,0
335,Hertz Global Holdings,"$8,803.00",-7.1%,$327,-,"$20,058.00","$1,662.00",-39,"37,000",-39,2018,1,0
336,Calpine,"$8,752.00",30.3%,$-339,-468.5%,"$16,453.00",-,64,"2,290",64,2018,0,0
337,Mutual of Omaha Insurance,"$8,731.90",10.6%,$862.6,141.9%,"$42,429.30",-,5,"5,896",5,2018,0,0
338,Crown Holdings,"$8,698.00",5%,$323,-34.9%,"$10,663.00","$6,815.80",-5,"24,342",-5,2018,0,0
339,Peter Kiewit Sons',"$8,678.00",1.2%,$371,-6.3%,"$5,710.00",-,-15,"22,000",-15,2018,0,0
340,Dick's Sporting Goods,"$8,590.50",8.4%,$323.4,12.5%,"$4,203.90","$3,764.50",-,"30,300",-,2018,0,0
341,PulteGroup,"$8,573.30",11.8%,$447.2,-25.8%,"$9,686.60","$8,439.20",12,"4,810",12,2018,0,0
342,Navistar International,"$8,570.00",5.7%,$30,-,"$6,135.00","$3,451.20",-5,"11,400",-5,2018,0,0
343,Thrivent Financial for Lutherans,"$8,527.90",-2.8%,$558.4,-5%,"$95,001.30",-,-27,"3,622",-27,2018,0,0
344,DCP Midstream,"$8,462.00",465.3%,$229,-26.6%,"$13,878.00","$5,033.00",-,"2,650",-,2018,0,0
345,Air Products & Chemicals,"$8,442.40",-11.4%,"$3,000.40",375.4%,"$18,467.20","$34,817.90",-51,"15,150",-51,2018,0,0
346,Veritiv,"$8,364.70",0.5%,$-13.3,-163.3%,"$2,708.40",$616.8,-15,"8,900",-15,2018,1,0
347,AGCO,"$8,306.50",12.1%,$186.4,16.4%,"$7,971.70","$5,157.10",23,"20,462",23,2018,0,0
348,Genworth Financial,"$8,295.00",-0.9%,$817,-,"$105,297.00","$1,412.70",-19,"3,500",-19,2018,0,0
349,Univar,"$8,253.70",2.2%,$119.8,-,"$5,732.70","$3,920.00",-11,"8,600",-11,2018,0,0
350,News Corp.,"$8,139.00",-2.2%,$-738,-512.3%,"$14,552.00","$9,272.20",-18,"26,000",-18,2018,0,0
351,SpartanNash,"$8,128.10",5.1%,$-52.8,-193%,"$2,055.80",$620.4,-1,"11,950",-1,2018,0,0
352,Westlake Chemical,"$8,041.00",58.4%,"$1,304.00",226.9%,"$12,076.00","$14,385.00",155,"8,799",-,2018,0,0
353,Williams,"$8,031.00",7.1%,"$2,174.00",-,"$46,352.00","$20,567.40",14,"5,425",14,2018,0,0
354,Lam Research,"$8,013.60",36.1%,"$1,697.80",85.7%,"$12,122.80","$33,105.40",86,"9,400",86,2018,0,0
355,Alaska Air Group,"$7,933.00",33.8%,"$1,034.00",27%,"$10,740.00","$7,645.50",83,"23,156",83,2018,0,0
356,Jones Lang LaSalle,"$7,932.40",16.6%,$254.2,-20.1%,"$8,014.50","$7,930.20",35,"81,900",35,2018,0,0
357,Anixter International,"$7,927.40",4%,$109,-9.5%,"$4,252.20","$2,522.00",2,"8,900",2,2018,0,0
358,Campbell Soup,"$7,890.00",-0.9%,$887,57.5%,"$7,726.00","$13,020.50",-19,"18,000",-19,2018,1,0
359,Interpublic Group,"$7,882.40",0.5%,$579,-4.8%,"$12,695.20","$8,854.30",-14,"50,200",-14,2018,0,0
360,Dover,"$7,830.40",15.2%,$811.7,59.5%,"$10,657.70","$15,182.50",32,"29,000",32,2018,0,0
361,Zimmer Biomet Holdings,"$7,824.10",1.8%,"$1,813.80",492.9%,"$25,964.50","$22,151.10",-9,"18,200",-9,2018,0,0
362,Dean Foods,"$7,795.00",1.1%,$61.6,-48.6%,"$2,503.80",$787.1,-11,"16,000",-11,2018,0,0
363,Foot Locker,"$7,782.00",0.2%,$284,-57.2%,"$3,961.00","$5,379.00",-15,"32,175",-15,2018,0,0
364,Eversource Energy,"$7,752.00",1.5%,$988,4.8%,"$36,220.40","$18,670.90",-6,"8,084",-6,2018,0,0
365,Alliance Data Systems,"$7,719.40",8.1%,$788.7,52.9%,"$30,684.80","$11,805.50",13,"20,000",13,2018,0,0
366,Fifth Third Bancorp,"$7,713.00",12%,"$2,194.00",40.3%,"$142,193.00","$21,811.70",23,"18,125",23,2018,0,0
367,Quest Diagnostics,"$7,709.00",2.6%,$772,19.7%,"$10,503.00","$13,619.10",-1,"45,000",-1,2018,0,0
368,EMCOR Group,"$7,687.90",1.8%,$227.2,24.9%,"$3,965.90","$4,549.00",-8,"32,000",-8,2018,0,0
369,W.R. Berkley,"$7,684.80",0.4%,$549.1,-8.8%,"$24,299.90","$8,836.10",-15,"7,722",-15,2018,0,0
370,WESCO International,"$7,679.00",4.7%,$163.5,60.9%,"$4,735.50","$2,919.90",3,"9,100",3,2018,0,0
371,Coty,"$7,650.30",75.9%,$-422.2,-369.1%,"$22,548.20","$13,722.50",187,"22,000",-,2018,0,0
372,WEC Energy Group,"$7,648.50",2.4%,"$1,203.70",28.2%,"$31,590.50","$19,784.30",-4,"8,129",-4,2018,0,0
373,Masco,"$7,644.00",3.9%,$533,8.6%,"$5,488.00","$12,590.00",-1,"26,000",-1,2018,0,0
374,DXC Technology,"$7,607.00",7.1%,$-123,-149%,"$8,663.00","$28,720.20",-,"60,000",-,2018,0,0
375,Auto-Owners Insurance,"$7,603.70",12.2%,$645.7,-8.6%,"$23,694.10",-,23,"5,227",23,2018,0,0
376,Jones Financial (Edward Jones),"$7,597.00",14.6%,$872,16.9%,"$17,176.00",-,27,"45,000",27,2018,0,0
377,Liberty Media,"$7,594.00",43.9%,"$1,354.00",99.1%,"$41,996.00","$13,815.80",114,"4,393",114,2018,0,0
378,Erie Insurance Group,"$7,535.10",7.4%,$857.5,15.6%,"$20,669.20",-,4,"5,260",4,2018,0,0
379,Hershey,"$7,515.40",1%,$783,8.7%,"$5,553.70","$20,773.80",-10,"16,135",-10,2018,1,0
380,PPL,"$7,447.00",-0.9%,"$1,128.00",-40.7%,"$41,479.00","$19,634.70",-15,"12,512",-15,2018,0,0
381,Huntington Ingalls Industries,"$7,441.00",5.3%,$479,-16.4%,"$6,374.00","$11,539.20",-1,"38,000",-1,2018,0,0
382,Mosaic,"$7,409.40",3.4%,$-107.2,-136%,"$18,633.40","$9,357.90",-5,"8,500",-5,2018,0,0
383,J.M. Smucker,"$7,392.30",-5.4%,$592.3,-14%,"$15,639.70","$14,087.40",-37,"7,140",-37,2018,0,0
384,Delek US Holdings,"$7,349.50",35.7%,$288.8,-,"$5,935.20","$3,415.50",96,"3,941",96,2018,0,0
385,Newmont Mining,"$7,348.00",-12.3%,$-98,-,"$20,563.00","$20,852.60",-57,"12,569",-57,2018,0,0
386,Constellation Brands,"$7,331.50",12%,"$1,535.10",45.5%,"$18,602.40","$44,378.60",22,"8,700",22,2018,0,0
387,Ryder System,"$7,329.60",8%,$790.6,201.2%,"$11,452.20","$3,867.20",7,"36,100",7,2018,0,0
388,National Oilwell Varco,"$7,304.00",0.7%,$-237,-,"$20,206.00","$13,993.10",-13,"31,605",-13,2018,0,0
389,Adobe Systems,"$7,301.50",24.7%,"$1,694.00",44.9%,"$14,535.60","$106,413.00",54,"17,973",54,2018,0,0
390,LifePoint Health,"$7,263.10",-0.1%,$102.4,-16%,"$6,286.40","$1,832.00",-16,"42,000",-16,2018,0,0
391,Tractor Supply,"$7,256.40",7%,$422.6,-3.3%,"$2,868.80","$7,806.70",5,"21,000",5,2018,0,0
392,Thor Industries,"$7,247.00",58.2%,$374.3,45.9%,"$2,557.90","$6,068.90",148,"17,800",-,2018,0,0
393,Dana,"$7,209.00",23.7%,$111,-82.7%,"$5,644.00","$3,741.20",54,"30,100",54,2018,0,0
394,Weyerhaeuser,"$7,196.00",-8.9%,$582,-43.3%,"$18,059.00","$26,463.40",-53,"9,300",-53,2018,0,0
395,J.B. Hunt Transport Services,"$7,189.60",9.7%,$686.3,58.8%,"$4,465.30","$12,857.70",12,"24,681",12,2018,0,0
396,Darden Restaurants,"$7,170.20",3.4%,$479.1,27.8%,"$5,504.20","$10,531.30",-11,"178,729",-11,2018,0,0
397,Yum China Holdings,"$7,144.00",5.8%,$403,-19.7%,"$4,263.00","$16,008.50",2,"450,000",2,2018,1,0
398,Blackstone Group,"$7,119.10",38.9%,"$1,470.80",41.5%,"$34,428.90","$21,057.90",105,"2,360",-,2018,0,1
399,Berry Global Group,"$7,095.00",9.3%,$340,44.1%,"$8,476.00","$7,191.10",14,"23,000",14,2018,0,0
400,Builders FirstSource,"$7,034.20",10.5%,$38.8,-73.1%,"$3,006.10","$2,264.10",21,"15,000",21,2018,0,0
401,Activision Blizzard,"$7,017.00",6.2%,$273,-71.7%,"$18,668.00","$51,177.30",5,"9,800",5,2018,0,0
402,JetBlue Airways,"$7,015.00",5.8%,"$1,147.00",51.1%,"$9,781.00","$6,540.20",1,"17,424",1,2018,0,0
403,Amphenol,"$7,011.30",11.5%,$650.5,-21%,"$10,003.90","$26,311.30",21,"70,000",21,2018,0,0
404,A-Mark Precious Metals,"$6,989.60",3%,$7.1,-23.6%,$478.5,$86.1,-9,126,-9,2018,0,0
405,Spirit AeroSystems Holdings,"$6,983.00",2.8%,$354.9,-24.4%,"$5,267.80","$9,594.60",-12,"15,500",-12,2018,0,0
406,R.R. Donnelley & Sons,"$6,939.60",0.6%,$-34.4,-,"$3,904.50",$611.8,-18,"42,700",-18,2018,0,0
407,Harris,"$6,939.00",-7.8%,$553,70.7%,"$10,090.00","$19,148.70",-44,"17,000",-44,2018,0,0
408,Expeditors Intl. of Washington,"$6,920.90",13.5%,$489.3,13.6%,"$3,117.00","$11,086.90",21,"16,500",21,2018,0,0
409,Discovery,"$6,873.00",5.8%,$-337,-128.2%,"$22,555.00","$11,155.60",3,"7,000",3,2018,0,0
410,Owens-Illinois,"$6,869.00",2.5%,$180,-13.9%,"$9,756.00","$3,537.60",-9,"26,500",-9,2018,0,0
411,Sanmina,"$6,868.60",6%,$138.8,-26.1%,"$3,847.40","$1,863.10",3,"41,250",3,2018,0,0
412,KeyCorp,"$6,868.00",26.7%,"$1,296.00",63.8%,"$137,698.00","$20,570.30",67,"18,415",67,2018,1,0
413,American Financial Group,"$6,865.00",5.6%,$475,-26.8%,"$60,658.00","$9,923.20",-2,"7,600",-2,2018,0,0
414,Oshkosh,"$6,829.60",8.8%,$285.6,32%,"$5,098.90","$5,767.90",11,"14,000",11,2018,0,0
415,Rockwell Collins,"$6,822.00",29.7%,$705,-3.2%,"$17,997.00","$22,107.70",77,"29,000",77,2018,0,0
416,Kindred Healthcare,"$6,767.60",-6.4%,$-698.4,-,"$5,232.70",$836.4,-40,"64,200",-40,2018,0,0
417,Insight Enterprises,"$6,703.60",22.2%,$90.7,7.1%,"$2,685.70","$1,251.80",56,"6,697",56,2018,0,0
418,Dr Pepper Snapple Group,"$6,690.00",3.9%,"$1,076.00",27%,"$10,022.00","$21,278.10",-2,"21,000",-2,2018,0,0
419,American Tower,"$6,663.90",15.2%,"$1,238.90",29.5%,"$33,214.30","$64,073.40",30,"4,752",30,2018,0,0
420,Fortive,"$6,656.00",-,"$1,044.50",-,"$10,500.60","$26,979.40",-,"26,000",-,2018,0,0
421,Ralph Lauren,"$6,652.80",-10.2%,$-99.3,-125.1%,"$5,652.00","$9,088.20",-50,"18,250",-50,2018,0,0
422,Spectrum Brands Holdings,"$6,650.00",3.9%,$106,-,"$35,849.70","$3,328.40",-4,"17,113",-4,2018,0,0
423,Ascena Retail Group,"$6,649.80",-4.9%,"$-1,067.30",-,"$3,871.50",$394.4,-39,"40,000",-39,2018,0,0
424,United Rentals,"$6,641.00",15.3%,"$1,346.00",137.8%,"$15,030.00","$14,537.20",28,"14,800",28,2018,0,0
425,Casey's General Stores,"$6,640.60",5.3%,$177.5,-21.5%,"$3,020.10","$4,120.30",-2,"25,463",-2,2018,0,0
426,Graybar Electric,"$6,631.20",3.9%,$71.6,-23.1%,"$2,261.40",-,-6,"8,500",-6,2018,1,0
427,Avery Dennison,"$6,613.80",8.7%,$281.8,-12.1%,"$5,136.90","$9,360.80",3,"30,000",3,2018,0,0
428,MasTec,"$6,607.00",28.7%,$347.2,164.5%,"$4,066.60","$3,873.80",74,"17,300",-,2018,0,0
429,CMS Energy,"$6,583.00",2.9%,$460,-16.5%,"$23,050.00","$12,793.10",-10,"7,887",-10,2018,1,0
430,HD Supply Holdings,"$6,534.00",-13.2%,$970,394.9%,"$4,318.00","$7,040.40",-66,"11,000",-66,2018,0,0
431,Raymond James Financial,"$6,524.90",18.2%,$636.2,20.2%,"$34,883.50","$13,019.40",38,"12,700",38,2018,0,0
432,NCR,"$6,516.00",-0.4%,$232,-14.1%,"$7,654.00","$3,737.40",-23,"34,000",-23,2018,0,0
433,Hanesbrands,"$6,478.30",6.9%,$61.9,-88.5%,"$6,894.80","$6,637.70",-1,"67,200",-1,2018,0,0
434,Asbury Automotive Group,"$6,456.50",-1.1%,$139.1,-16.8%,"$2,356.70","$1,411.60",-24,"8,000",-24,2018,0,0
435,Citizens Financial Group,"$6,454.00",12%,"$1,652.00",58.1%,"$152,336.00","$20,474.40",16,"17,594",16,2018,0,0
436,Packaging Corp. of America,"$6,444.90",11.5%,$668.6,48.7%,"$6,197.50","$10,633.20",14,"14,600",14,2018,0,0
437,Alleghany,"$6,424.70",4.8%,$90.1,-80.3%,"$25,384.30","$9,460.30",-9,"4,402",-9,2018,0,0
438,Apache,"$6,423.00",20%,"$1,304.00",-,"$21,922.00","$14,678.10",50,"3,356",50,2018,0,0
439,Dillard's,"$6,422.70",0.1%,$221.3,30.8%,"$3,673.20","$2,288.50",-22,"31,400",-22,2018,0,0
440,Assurant,"$6,415.00",-14.8%,$519.6,-8.1%,"$31,843.00","$4,802.90",-79,"14,175",-79,2018,0,0
441,Franklin Resources,"$6,392.20",-3.4%,"$1,696.70",-1.7%,"$17,534.00","$19,133.10",-36,"9,386",-36,2018,0,0
442,Owens Corning,"$6,384.00",12.5%,$289,-26.5%,"$8,632.00","$8,981.80",16,"17,000",16,2018,0,0
443,Motorola Solutions,"$6,380.00",5.7%,$-155,-127.7%,"$8,208.00","$17,026.50",-10,"15,000",-10,2018,0,0
444,NVR,"$6,322.30",8.4%,$537.5,26.4%,"$2,989.30","$10,261.90",2,"5,200",2,2018,0,0
445,Rockwell Automation,"$6,311.30",7.3%,$825.7,13.2%,"$7,161.70","$22,260.10",-3,"22,000",-3,2018,0,0
446,TreeHouse Foods,"$6,307.10",2.1%,$-286.2,-,"$5,779.30","$2,158.70",-19,"13,489",-19,2018,0,0
447,Wynn Resorts,"$6,306.40",41.2%,$747.2,208.8%,"$12,681.70","$19,778.20",101,"25,200",-,2018,0,0
448,Olin,"$6,268.40",12.9%,$549.5,-,"$9,218.30","$5,081.00",19,"6,400",19,2018,0,0
449,American Axle & Manufacturing,"$6,266.00",58.7%,$337.1,40%,"$7,882.80","$1,699.40",144,"25,000",-,2018,0,0
450,Old Republic International,"$6,263.10",6.1%,$560.5,20%,"$19,403.50","$5,777.50",-11,"8,700",-11,2018,0,0
451,Chemours,"$6,183.00",14.5%,$746,10557.10%,"$7,293.00","$8,840.20",31,"7,000",31,2018,0,0
452,iHeartMedia,"$6,178.20",-1.5%,$-704.4,-,"$12,257.30",$39.4,-26,"18,700",-26,2018,0,0
453,Ameren,"$6,177.00",1.7%,$523,-19.9%,"$25,945.00","$13,740.40",-22,"8,615",-22,2018,0,0
454,Arthur J. Gallagher,"$6,159.60",10.1%,$463.1,11.8%,"$12,897.40","$12,512.00",8,"26,783",8,2018,0,0
455,Celanese,"$6,140.00",13.9%,$843,-6.3%,"$9,538.00","$13,610.80",29,"7,592",29,2018,0,0
456,Sealed Air,"$6,130.60",-9.6%,$814.9,67.5%,"$5,280.30","$7,162.00",-59,"15,000",-59,2018,0,0
457,UGI,"$6,120.70",7.7%,$436.6,19.7%,"$11,582.20","$7,685.30",-,"13,000",-,2018,0,0
458,Realogy Holdings,"$6,114.00",5.2%,$431,102.3%,"$7,337.00","$3,568.40",-10,"11,800",-10,2018,0,0
459,Burlington Stores,"$6,110.00",9.3%,$384.9,78.3%,"$2,812.80","$9,018.10",4,"40,000",4,2018,0,0
460,Regions Financial,"$6,093.00",2.1%,"$1,263.00",8.6%,"$124,294.00","$20,860.60",-24,"21,714",-24,2018,0,0
461,AK Steel Holding,"$6,080.50",3.4%,$6.2,-,"$4,296.10","$1,428.20",-20,"9,200",-20,2018,0,0
462,Securian Financial Group,"$6,066.50",27%,$418.9,68.7%,"$51,232.40",-,70,"5,000",-,2018,0,0
463,S&P Global,"$6,063.00",7.1%,"$1,496.00",-29%,"$9,425.00","$47,642.50",-4,"20,400",-4,2018,0,0
464,Markel,"$6,061.70",8%,$395.3,-13.3%,"$32,805.00","$16,264.10",-4,"15,600",-4,2018,0,0
465,TravelCenters of America,"$6,051.60",9.8%,$9.3,-,"$1,617.90",$143.9,5,"19,611",5,2018,0,0
466,Conduent,"$6,022.00",-,$181,-,"$7,548.00","$3,923.10",-,"90,000",-,2018,0,0
467,M&T Bank Corp.,"$6,018.90",5.2%,"$1,408.30",7.1%,"$118,593.50","$27,379.20",-12,"16,354",-12,2018,0,0
468,Clorox,"$5,973.00",3.7%,$701,8.2%,"$4,573.00","$17,225.00",-15,"8,100",-15,2018,0,0
469,AmTrust Financial Services,"$5,958.90",9.3%,$-348.9,-184.9%,"$25,218.60","$2,415.90",6,"9,300",6,2018,0,0
470,KKR,"$5,930.00",71.4%,"$1,018.30",229.2%,"$45,834.70","$9,882.00",186,"1,184",-,2018,0,1
471,Ulta Beauty,"$5,884.50",21.2%,$555.2,35.5%,"$2,908.70","$12,458.90",53,"24,200",-,2018,1,0
472,Yum Brands,"$5,878.00",-7.7%,"$1,340.00",-17.2%,"$5,311.00","$28,306.80",-50,"60,000",-50,2018,0,0
473,Regeneron Pharmaceuticals,"$5,872.20",20.8%,"$1,198.50",33.8%,"$8,764.30","$37,086.50",50,"6,200",-,2018,0,1
474,Windstream Holdings,"$5,852.90",8.6%,"$-2,116.60",-,"$11,084.30",$288.5,11,"12,979",11,2018,0,0
475,Magellan Health,"$5,838.60",20.7%,$110.2,41.5%,"$2,957.20","$2,605.10",51,"10,700",-,2018,0,0
476,Western & Southern Financial,"$5,836.30",8.1%,$310.4,28.7%,"$46,395.10",-,7,"2,226",7,2018,0,0
477,Intercontinental Exchange,"$5,834.00",-2.1%,"$2,514.00",76.8%,"$78,264.00","$42,132.40",-40,"4,952",-40,2018,0,0
478,Ingredion,"$5,832.00",2.3%,$519,7%,"$6,080.00","$9,312.60",-22,"11,000",-22,2018,0,0
479,Wyndham Destinations,"$5,821.00",4%,$871,42.6%,"$10,403.00","$11,411.40",-18,"39,200",-18,2018,0,0
480,Toll Brothers,"$5,815.10",12.5%,$535.5,40.1%,"$9,445.20","$6,566.30",17,"4,500",17,2018,0,0
481,Seaboard,"$5,809.00",8%,$247,-20.8%,"$5,161.00","$4,992.40",5,"11,800",5,2018,0,0
482,Booz Allen Hamilton,"$5,804.30",7.4%,$252.5,-14.1%,"$3,373.10","$5,616.80",-1,"23,300",-1,2018,0,0
483,First American Financial,"$5,772.40",3.5%,$423,23.3%,"$9,573.20","$6,511.10",-19,"18,705",-19,2018,0,0
484,Cincinnati Financial,"$5,732.40",5.2%,"$1,045.00",76.9%,"$21,843.10","$12,185.30",-8,"4,925",-8,2018,0,0
485,Avon Products,"$5,715.60",-2.3%,$22,-,"$3,697.90","$1,250.70",-41,"25,000",-41,2018,0,0
486,Northern Trust,"$5,715.50",11.1%,"$1,199.00",16.1%,"$138,590.50","$23,264.30",15,"18,100",-,2018,0,0
487,Fiserv,"$5,696.00",3.5%,"$1,246.00",34%,"$10,289.00","$29,466.40",-16,"24,000",-16,2018,0,0
488,Harley-Davidson,"$5,647.20",-5.8%,$521.8,-24.6%,"$9,972.70","$7,198.00",-53,"5,800",-53,2018,0,0
489,Cheniere Energy,"$5,601.00",336.5%,$-393,-,"$27,906.00","$12,702.80",-,"1,230",-,2018,0,0
490,Patterson,"$5,593.10",0.7%,$170.9,-8.7%,"$3,507.90","$2,103.70",-24,"7,500",-24,2018,0,0
491,Peabody Energy,"$5,578.80",18.3%,-,-,"$8,181.20","$4,648.80",42,"7,100",-,2018,0,0
492,ON Semiconductor,"$5,543.10",41.9%,$810.7,345.2%,"$7,195.10","$10,406.30",106,"34,000",-,2018,0,0
493,Simon Property Group,"$5,538.60",1.9%,"$1,948.00",5.9%,"$32,257.60","$47,861.00",-16,"4,150",-16,2018,0,0
494,Western Union,"$5,524.30",1.9%,$-557.1,-320%,"$9,231.40","$8,857.40",-16,"11,500",-16,2018,0,0
495,NetApp,"$5,519.00",-0.5%,$509,122.3%,"$9,493.00","$16,528.20",-27,"10,100",-27,2018,0,0
496,Polaris Industries,"$5,504.80",19.8%,$172.5,-19%,"$3,089.60","$7,223.70",41,"11,000",-,2018,0,0
497,Pioneer Natural Resources,"$5,455.00",42.7%,$833,-,"$17,003.00","$29,254.30",109,"3,836",-,2018,0,0
498,ABM Industries,"$5,453.60",6%,$3.8,-93.4%,"$3,812.60","$2,199.60",2,"140,000",2,2018,0,0
499,Vistra Energy,"$5,430.00",5.2%,$-254,-,"$14,600.00","$8,924.60",-,"4,150",-,2018,0,0
500,Cintas,"$5,428.90",10.7%,$480.7,-30.7%,"$6,844.10","$18,164.90",20,"42,000",-,2018,0,0
501,Hess,"$5,405.00",11.6%,"$-4,074.00",-,"$23,112.00","$15,948.00",24,"2,075",-,2018,0,0
502,Host Hotels & Resorts,"$5,387.00",-1.8%,$564,-26%,"$11,693.00","$13,821.80",-30,205,-,2018,0,0
503,Kelly Services,"$5,374.40",1.8%,$71.6,-40.7%,"$2,378.20","$1,116.00",-13,"7,800",-,2018,0,0
504,Genesis Healthcare,"$5,373.70",-6.3%,$-579,-,"$4,787.90",$240.8,-50,"68,700",-,2018,0,0
505,Michaels Cos.,"$5,362.00",3.2%,$390.5,3.3%,"$2,300.20","$3,585.90",-9,"30,500",-,2018,0,0
506,Advanced Micro Devices,"$5,329.00",24.7%,$43,-,"$3,540.00","$9,739.80",59,"8,900",-,2018,1,0
507,Zoetis,"$5,307.00",8.6%,$864,5.2%,"$8,586.00","$40,523.50",14,"9,200",-,2018,0,0
508,Williams-Sonoma,"$5,292.40",4.1%,$259.5,-15%,"$2,785.70","$4,441.10",-2,"19,350",-,2018,1,0
509,Fortune Brands Home & Security,"$5,283.30",6%,$472.6,14.4%,"$5,511.40","$8,716.80",2,"23,870",-,2018,0,0
510,Big Lots,"$5,271.00",1.4%,$189.8,24.2%,"$1,651.70","$1,829.70",-15,"22,900",-,2018,1,0
511,Robert Half International,"$5,266.80",0.3%,$290.6,-15.4%,"$1,867.50","$7,193.50",-18,"17,200",-,2018,0,0
512,Post Holdings,"$5,225.80",4%,$48.3,-,"$11,876.80","$4,968.10",-4,"11,410",-,2018,0,0
513,Hasbro,"$5,209.80",3.8%,$396.6,-28.1%,"$5,290.00","$10,468.20",-4,"5,400",-,2018,0,0
514,Hanover Insurance Group,"$5,184.40",4.8%,$186.2,20.1%,"$15,469.60","$5,016.50",3,"4,600",-,2018,0,0
515,Navient,"$5,179.00",4.3%,$292,-57.1%,"$114,991.00","$3,455.70",-1,"6,700",-,2018,0,0
516,Intuit,"$5,177.00",7.2%,$971,-0.8%,"$4,068.00","$44,396.90",11,"8,200",-,2018,0,0
517,Domtar,"$5,157.00",1.2%,$-258,-301.6%,"$5,212.00","$2,667.10",-12,"10,000",-,2018,0,0
518,Marathon Oil,"$5,153.00",10.8%,"$-5,723.00",-,"$22,012.00","$13,706.60",18,"2,300",-,2018,0,0
519,Cerner,"$5,142.30",7.2%,$867,36.2%,"$6,469.30","$19,290.60",11,"26,000",-,2018,0,0
520,Analog Devices,"$5,107.50",49.3%,$727.3,-15.6%,"$21,141.30","$33,700.20",140,"15,300",-,2018,0,0
521,Telephone & Data Systems,"$5,044.00",-1.2%,$153,255.8%,"$9,295.00","$3,114.70",-17,"9,900",-,2018,0,0
522,Essendant,"$5,037.30",-6.2%,$-267,-518.1%,"$1,774.30",$294.1,-35,"6,400",-,2018,0,0
523,Sonoco Products,"$5,036.70",5.3%,$175.3,-38.8%,"$4,557.70","$4,828.80",8,"21,000",-,2018,0,0
524,Juniper Networks,"$5,027.20",0.7%,$306.2,-48.3%,"$9,833.80","$8,363.60",-14,"9,381",-,2018,0,0
525,Commercial Metals,"$4,999.10",7.5%,$46.3,-15.4%,"$2,975.10","$2,393.90",10,"8,797",-,2018,1,0
526,CSRA,"$4,993.00",17.5%,$304,248.8%,"$4,888.00","$6,758.60",44,"18,500",-,2018,0,0
527,Under Armour,"$4,976.60",3.1%,$-48.3,-118.8%,"$4,006.40","$6,756.30",1,"11,350",-,2018,0,1
528,RPM International,"$4,958.20",3%,$181.8,-48.7%,"$5,090.40","$6,371.80",1,"14,318",-,2018,0,0
529,Total System Services,"$4,928.00",18.2%,$586.2,83.4%,"$6,331.70","$15,675.60",50,"11,800",-,2018,0,0
530,Levi Strauss,"$4,904.00",7.7%,$281.4,-3.3%,"$3,354.70",-,12,"13,800",-,2018,0,0
531,Brunswick,"$4,897.60",9.1%,$146.4,-47%,"$3,358.20","$5,188.30",16,"15,116",-,2018,0,0
532,YRC Worldwide,"$4,891.00",4.1%,$-10.8,-150.2%,"$1,585.50",$299.1,2,"32,000",-,2018,0,0
533,Mattel,"$4,882.00",-10.5%,"$-1,053.80",-431.4%,"$6,238.50","$4,522.60",-59,"28,000",-,2018,0,0
534,FM Global,"$4,874.80",11.5%,$254.1,-68.1%,"$23,246.90",-,23,"5,441",-,2018,0,0
535,NiSource,"$4,874.60",8.5%,$128.5,-61.2%,"$19,961.70","$8,067.50",10,"8,175",-,2018,0,0
536,Caesars Entertainment,"$4,852.00",6.5%,$-375,-,"$25,512.00","$7,838.30",5,"65,000",-,2018,0,0
537,Electronic Arts,"$4,845.00",10.2%,$967,-16.3%,"$7,718.00","$37,187.70",19,"8,800",-,2018,0,0
538,Dynegy,"$4,842.00",12.1%,$76,-,"$11,771.00","$1,952.20",23,"2,489",-,2018,0,0
539,McCormick,"$4,834.10",9.6%,$477.4,1.1%,"$10,385.80","$13,964.40",14,"11,700",-,2018,0,0
540,T. Rowe Price,"$4,793.00",13.5%,"$1,497.80",23.3%,"$7,534.70","$26,409.20",33,"6,881",-,2018,0,0
541,Orbital ATK,"$4,764.00",6.9%,$310,5.8%,"$5,666.00","$7,664.60",8,"13,900",-,2018,0,1
542,Tutor Perini,"$4,757.20",-4.3%,$148.4,54.9%,"$4,264.10","$1,097.90",-29,"10,061",-,2018,0,0
543,Brookdale Senior Living,"$4,747.10",-4.6%,$-571.4,-,"$7,675.40","$1,251.90",-31,"62,550",-,2018,1,0
544,Huntington Bancshares,"$4,740.00",25.3%,"$1,186.00",66.6%,"$104,185.00","$16,209.00",66,"15,770",-,2018,0,0
545,Wayfair,"$4,720.90",39.7%,$-244.6,-,"$1,213.40","$5,976.70",121,"7,751",-,2018,0,1
546,Rush Enterprises,"$4,713.90",11.8%,$172.1,324.2%,"$2,890.10","$1,608.50",29,"6,825",-,2018,0,0
547,Xylem,"$4,707.00",24.8%,$331,27.3%,"$6,860.00","$13,839.30",64,"16,200",-,2018,0,0
548,Neiman Marcus Group,"$4,706.00",-4.9%,$-531.8,-,"$7,703.50",-,-33,"13,700",-,2018,0,0
